,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.905597448348999,0.5864827930927277,1.6780942678451538
PCGrad,0.9147204160690308,0.5978183398644129,1.5976308584213257
No_PCGrad,0.9080715775489807,0.5935160554117627,1.6438990831375122
PCGrad,0.9096280336380005,0.6016535455981891,1.637819766998291
No_PCGrad,0.9124240279197693,0.5591705934868918,1.8413671255111694
PCGrad,0.9081399440765381,0.5378467314773135,1.912094235420227
No_PCGrad,0.9102829098701477,0.6226660682095422,1.540140986442566
PCGrad,0.9118296504020691,0.6067523035738204,1.6215835809707642
No_PCGrad,0.9092597961425781,0.6702724314398236,1.4493207931518555
PCGrad,0.9165554642677307,0.4832762390375137,2.0716257095336914
No_PCGrad,0.9127002954483032,0.6309566362036599,1.5867646932601929
PCGrad,0.9143258929252625,0.6011617170439826,1.6362882852554321
No_PCGrad,0.907356321811676,0.6507054054074817,1.4841136932373047
PCGrad,0.9102181196212769,0.5691057450241512,1.728094458580017
No_PCGrad,0.9078579545021057,0.6448448555337059,1.4817562103271484
PCGrad,0.906201183795929,0.6391272831294271,1.5623904466629028
No_PCGrad,0.9149559736251831,0.6119829204347399,1.562085509300232
PCGrad,0.9255421161651611,0.48792660733064014,2.0809223651885986
No_PCGrad,0.9097597599029541,0.5917845418055853,1.7173733711242676
PCGrad,0.9164368510246277,0.561602051059405,1.7879260778427124
